image_ID,object_ID,size,pos_x,pos_y,roundness,brightness_sum_red,brightness_average_red,brightness_sum_green,brightness_average_green,brightness_sum_blue,brightness_average_blue,brightness_sum,brightness_average,min_feret,max_feret,feret_ratio,width_to_height_ratio
plant001_rgb_class_watershed,1,2328,224.994,216.890,0.487,222865.0,95.7323883161512,354354.0,152.21391752577318,63600.0,27.31958762886598,213640.0,91.76975945017182,43.487,93.193,0.4666269468298809,0.4731182795698925
plant001_rgb_class_watershed,2,4048,164.518,259.384,0.826,412453.0,101.89056324110672,649720.0,160.50395256916997,128909.0,31.845108695652176,397027.0,98.07979249011858,67.413,94.541,0.7130563873705448,1.1866666666666668
plant001_rgb_class_watershed,3,2032,274.395,272.639,0.577,206741.0,101.74261811023622,325385.0,160.13041338582678,59937.0,29.496555118110237,197354.0,97.12303149606299,41.960,70.838,0.5923352530150251,1.0545454545454545
plant001_rgb_class_watershed,4,1650,222.676,305.113,0.617,170789.0,103.50848484848485,242707.0,147.0951515151515,60711.0,36.79454545454546,158084.0,95.80848484848485,42.845,68.029,0.6298082341493026,0.8225806451612904
plant001_rgb_class_watershed,5,1121,297.390,296.474,0.614,109773.0,97.92417484388939,179557.0,160.1757359500446,22374.0,19.958965209634254,103892.0,92.67796610169492,32.134,50.804,0.6325197616163157,1.3157894736842106
plant001_rgb_class_watershed,6,798,171.499,305.549,0.609,83856.0,105.0827067669173,122120.0,153.0325814536341,44005.0,55.14411027568922,83322.0,104.41353383458646,24.000,44.407,0.5404528189332539,1.8333333333333333
plant001_rgb_class_watershed,7,758,274.964,320.509,0.803,72608.0,95.78891820580475,108318.0,142.89973614775727,29141.0,38.445910290237464,70013.0,92.36543535620052,28.991,37.855,0.7658536097519764,0.918918918918919
plant001_rgb_class_watershed,8,1380,158.178,335.166,0.486,131404.0,95.22028985507247,205885.0,149.19202898550725,24987.0,18.106521739130436,120754.0,87.50289855072464,31.638,67.067,0.47173465410250603,1.9090909090909092
plant001_rgb_class_watershed,9,1845,248.493,347.916,0.863,190411.0,103.20379403794038,294497.0,159.61897018970188,36454.0,19.758265582655827,173779.0,94.18915989159892,46.095,56.859,0.8106773642776621,0.8888888888888888
plant001_rgb_class_watershed,10,1680,203.286,360.328,0.774,164110.0,97.68452380952381,259442.0,154.4297619047619,55849.0,33.243452380952384,159793.0,95.11488095238096,43.165,55.570,0.7767662540640573,0.9
plant002_rgb_class_watershed,1,2072,155.673,170.779,0.782,239996.0,115.82818532818533,356646.0,172.12644787644788,43877.0,21.176158301158303,213491.0,103.03619691119691,47.718,66.068,0.7222505491403968,0.9444444444444444
plant002_rgb_class_watershed,2,1261,216.826,167.306,0.921,153046.0,121.36875495638382,222196.0,176.20618556701032,53415.0,42.35923869944489,142879.0,113.30610626486916,38.274,44.777,0.85475486858674,1.024390243902439
plant002_rgb_class_watershed,3,1649,259.012,198.555,0.895,175227.0,106.26258338386901,270614.0,164.1079442086113,38100.0,23.10491206791995,161323.0,97.8308065494239,44.000,53.814,0.8176235608718829,1.0227272727272727
plant002_rgb_class_watershed,4,888,222.041,198.972,0.685,96638.0,108.82657657657657,147418.0,166.01126126126127,14947.0,16.832207207207208,86334.0,97.22297297297297,30.866,50.329,0.6132925373546381,0.8717948717948718
plant002_rgb_class_watershed,5,131,67.561,191.156,0.511,16911.0,129.0916030534351,18820.0,143.66412213740458,3084.0,23.541984732824428,12939.0,98.77099236641222,10.752,18.788,0.5722954434908772,1.5
plant002_rgb_class_watershed,6,1261,128.464,229.019,0.669,146668.0,116.31086439333862,218376.0,173.17684377478193,44105.0,34.97620935765266,136398.0,108.16653449643141,32.000,50.961,0.6279340066225784,1.53125
plant002_rgb_class_watershed,7,700,167.063,225.559,0.618,78106.0,111.58,117232.0,167.4742857142857,17174.0,24.534285714285716,70839.0,101.19857142857143,24.000,42.059,0.5706204412385689,1.5416666666666667
